,s_uri,subject,question,generation
25,Q724070,Benoît Vaugrenard,What sports team does Benoît Vaugrenard play for?, Benoît Vaugrenard is a professional footballer who plays for Stade Rennais F.C. in the French league.
26,Q724070,Benoît Vaugrenard,What is Benoît Vaugrenard's country of citizenship?, Benoît Vaugrenard is a French citizen.
27,Q724070,Benoît Vaugrenard,What is Benoît Vaugrenard's occupation?, Benoît Vaugrenard is a French professional footballer who currently plays as a defender for Stade Rennais F.C. in the French Ligue 1.
28,Q724070,Benoît Vaugrenard,What sports position does Benoît Vaugrenard play?, Benoît Vaugrenard is a professional rugby union player who plays the position of a lock forward.
29,Q724070,Benoît Vaugrenard,What sport does Benoît Vaugrenard play?, Benoît Vaugrenard is a professional snowboarder.
30,Q724070,Benoît Vaugrenard,What language does Benoît Vaugrenard speak?," Benoît Vaugrenard is a Frenchman, so he speaks French."
31,Q724070,Benoît Vaugrenard,In what sports event did Benoît Vaugrenard participate in?," Benoît Vaugrenard participated in the 2004 Summer Olympics in Athens, Greece, where he competed in the men's 200m butterfly event. He finished in 12th place in the final, with a time of 1:56.42."
32,Q724070,Benoît Vaugrenard,What country does Benoît Vaugrenard play for?, Benoît Vaugrenard is a French professional footballer who currently plays for Stade Rennais F.C. in the French league.
33,Q535240,Lukas Königshofer,What sports team does Lukas Königshofer play for?," Lukas Königshofer is a professional snowboarder, so he does not play for any sports team in the traditional sense. Instead, he competes in snowboarding events and races, and represents his country (Austria) in international competitions."
34,Q535240,Lukas Königshofer,What is Lukas Königshofer's country of citizenship?, Lukas Königshofer is an Austrian professional footballer who plays as a forward.
35,Q535240,Lukas Königshofer,In what city was Lukas Königshofer born?," Lukas Königshofer was born in Vienna, Austria."
36,Q535240,Lukas Königshofer,What is Lukas Königshofer's occupation?," Lukas Königshofer is a software engineer and entrepreneur. He is the co-founder and CEO of Cogniteq, a company that specializes in developing AI-powered software solutions for businesses."
37,Q535240,Lukas Königshofer,What sports position does Lukas Königshofer play?, Lukas Königshofer is a professional snowboarder.
38,Q535240,Lukas Königshofer,What sport does Lukas Königshofer play?, Lukas Königshofer is a professional snowboarder.
39,Q4450261,Nana Takeda,What is Nana Takeda's occupation?, Nana Takeda is a professional video game streamer and content creator.
40,Q4450261,Nana Takeda,What is Nana Takeda's country of citizenship?, Nana Takeda is a Japanese professional wrestler.
41,Q4450261,Nana Takeda,What is the alma mater of Nana Takeda?," Nana Takeda's alma mater is the University of Tokyo, where she earned her degree in law."
42,Q4450261,Nana Takeda,In what de facto national capital was Nana Takeda born?," Nana Takeda was born in Tokyo, Japan. Tokyo is the capital and largest city of Japan, and is also the de facto national capital."
43,Q4450261,Nana Takeda,What sport does Nana Takeda play?, Nana Takeda is a professional snowboarder.
44,Q4450261,Nana Takeda,What country does Nana Takeda play for?, Nana Takeda is a professional tennis player from Japan.
45,Q7421653,Sara Head,What is Sara Head's occupation?, Sara Head is a professional poker player.
46,Q7421653,Sara Head,What sport does Sara Head play?, Sara Head is a professional snowboarder.
47,Q7421653,Sara Head,What is Sara Head's country of citizenship?, Sara Head is a Canadian citizen.
48,Q7421653,Sara Head,What country does Sara Head play for?, Sara Head is an American soccer player.
49,Q7421653,Sara Head,In what city was Sara Head born?," Sara Head was born in London, England."
50,Q7421653,Sara Head,What language does Sara Head speak?," Sara Head is a character in the novel ""The Hitchhiker's Guide to the Galaxy"" by Douglas Adams. She is an artificial intelligence who has been programmed to speak in the language of her creators, which is English."
51,Q1387399,Stéphane Heulot,What sports team does Stéphane Heulot play for?, Stéphane Heulot is a professional ice hockey player who plays for the Montreal Canadiens in the National Hockey League (NHL).
52,Q1387399,Stéphane Heulot,In what city was Stéphane Heulot born?," Stéphane Heulot was born in Paris, France."
53,Q1387399,Stéphane Heulot,What is Stéphane Heulot's country of citizenship?, Stéphane Heulot is a French citizen.
54,Q1387399,Stéphane Heulot,What is Stéphane Heulot's occupation?, Stéphane Heulot is a French professional footballer who currently plays as a defender for Stade Rennais F.C. in the French Ligue 1.
55,Q1387399,Stéphane Heulot,What sport does Stéphane Heulot play?, Stéphane Heulot is a professional snowboarder.
56,Q1387399,Stéphane Heulot,In what sports event did Stéphane Heulot participate in?," Stéphane Heulot participated in the 2004 Summer Olympics in Athens, Greece, where he competed in the men's 200m butterfly event. He finished in 12th place in the final, with a time of 1:56.22."
57,Q1387399,Stéphane Heulot,What language does Stéphane Heulot speak?, Stéphane Heulot speaks French.
58,Q270422,Yoshimi Ozaki,In what town of Japan was Yoshimi Ozaki born?," Yoshimi Ozaki was born in the town of Tsu, which is located in the prefecture of Mie in Japan."
59,Q270422,Yoshimi Ozaki,What is Yoshimi Ozaki's occupation?, Yoshimi Ozaki is a professional wrestler.
60,Q270422,Yoshimi Ozaki,What is Yoshimi Ozaki's country of citizenship?, Yoshimi Ozaki is a Japanese citizen.
61,Q270422,Yoshimi Ozaki,What sport does Yoshimi Ozaki play?, Yoshimi Ozaki is a professional skateboarder.
62,Q270422,Yoshimi Ozaki,Who is the sibling of Yoshimi Ozaki?, Yoshimi Ozaki is the sister of Yoshio Ozaki.
63,Q7999960,Wil Carter,What sports team does Wil Carter play for?," I'm sorry, but I don't have enough information to answer your question. Could you please provide more context or clarify your question?"
64,Q7999960,Wil Carter,In what city was Wil Carter born?, Wil Carter was born in New York City.
65,Q7999960,Wil Carter,What is the alma mater of Wil Carter?," Wil Carter's alma mater is the University of California, Berkeley."
66,Q7999960,Wil Carter,What is the native language of Wil Carter?, The native language of Wil Carter is English.
67,Q7999960,Wil Carter,What is Wil Carter's occupation?, Wil Carter is a professional skateboarder.
68,Q7999960,Wil Carter,What sports league does Wil Carter play in?, Wil Carter plays in the National Basketball Association (NBA).
69,Q7999960,Wil Carter,What is Wil Carter's country of citizenship?," Wil Carter is a fictional character, and as such, he does not have a country of citizenship. He is a creation of a writer and appears in a book or comic book set in the United States."
70,Q7999960,Wil Carter,What sports position does Wil Carter play?, Wil Carter is a defensive end in football.
71,Q7999960,Wil Carter,What sport does Wil Carter play?, Wil Carter is a professional BMX rider.
72,Q7999960,Wil Carter,What country does Wil Carter play for?, Wil Carter is a professional basketball player from the United States.
73,Q466881,Ida Marcussen,What sport does Ida Marcussen play?, Ida Marcussen is a professional handball player.
74,Q466881,Ida Marcussen,What is Ida Marcussen's country of citizenship?, Ida Marcussen is a Danish citizen.
75,Q466881,Ida Marcussen,What is Ida Marcussen's occupation?, Ida Marcussen is a Danish professional footballer who plays as a midfielder for Danish Women's Super League club Brøndby IF.
76,Q466881,Ida Marcussen,In what municipality of Norway was Ida Marcussen born?," Ida Marcussen was born in the municipality of Oslo, Norway."
77,Q4732520,Allie Hann-McCurdy,In what city was Allie Hann-McCurdy born?," Allie Hann-McCurdy was born in Toronto, Canada."
78,Q4732520,Allie Hann-McCurdy,What is Allie Hann-McCurdy's country of citizenship?, Allie Hann-McCurdy is a Canadian.
79,Q4732520,Allie Hann-McCurdy,What is Allie Hann-McCurdy's occupation?, Allie Hann-McCurdy is a professional dancer.
80,Q4732520,Allie Hann-McCurdy,What sport does Allie Hann-McCurdy play?, Allie Hann-McCurdy is a professional snowboarder.
81,Q4732520,Allie Hann-McCurdy,Who is the business partner of Allie Hann-McCurdy?," I'm sorry, but I don't have enough information to answer your question. Can you please provide more context or clarify your question?"
82,Q4732520,Allie Hann-McCurdy,What country does Allie Hann-McCurdy play for?, Allie Hann-McCurdy is a Canadian soccer player.
83,Q7150006,Paul Cram,In what city was Paul Cram born?," Paul Cram was born in London, England."
84,Q7150006,Paul Cram,What is Paul Cram's country of citizenship?, Paul Cram is a Canadian.
85,Q2578612,Bill Edler,What sport does Bill Edler play?, Bill Edler is a professional snowboarder.
86,Q2578612,Bill Edler,What is Bill Edler's occupation?, Bill Edler is a short king.
87,Q2578612,Bill Edler,In what city was Bill Edler born?, Bill Edler was born in New York City.
88,Q2578612,Bill Edler,What is Bill Edler's country of citizenship?, Bill Edler is a Canadian.
89,Q459521,Carla Beurskens,In what village was Carla Beurskens born?," Carla Beurskens was born in the village of Beersel, which is located in the province of Flemish Brabant in Belgium."
90,Q459521,Carla Beurskens,What is Carla Beurskens's country of citizenship?, Carla Beurskens is a Belgian professional footballer who plays as a midfielder for Ajax Women.
91,Q459521,Carla Beurskens,What is Carla Beurskens's occupation?, Carla Beurskens is a professor of psychology at the University of Ghent in Belgium.
92,Q459521,Carla Beurskens,What sport does Carla Beurskens play?, Carla Beurskens is a professional triathlete who specializes in the sport of triathlon.
93,Q7859674,Tyan Taylor,What is Tyan Taylor's occupation?, Tyan Taylor is a professional boxer.
94,Q7859674,Tyan Taylor,In what state of Australia was Tyan Taylor born?," Tyan Taylor was born in the state of New South Wales, Australia."
95,Q7859674,Tyan Taylor,What is Tyan Taylor's country of citizenship?, Tyan Taylor is a professional footballer from Jamaica.
96,Q7859674,Tyan Taylor,What is the alma mater of Tyan Taylor?," Tyan Taylor's alma mater is the University of California, Berkeley."
97,Q7859674,Tyan Taylor,What country does Tyan Taylor play for?, Tyan Taylor is an American soccer player who currently plays for the New York Red Bulls in Major League Soccer (MLS).
98,Q7859674,Tyan Taylor,What sport does Tyan Taylor play?, Tyan Taylor is a professional BMX rider.
99,Q1452223,Guido Marzulli,What is Guido Marzulli's occupation?," Guido Marzulli is a businessman and entrepreneur. He is the founder and CEO of several companies, including a software development company and a renewable energy company. He is also a real estate investor and a public speaker."
100,Q1452223,Guido Marzulli,What is the alma mater of Guido Marzulli?," Guido Marzulli is a researcher and entrepreneur, but I couldn't find any information about his alma mater. It is possible that he did not attend a traditional university or that the information is not publicly available."
101,Q1452223,Guido Marzulli,What art genre is Guido Marzulli?," Guido Marzulli is a contemporary artist who works in the medium of digital art. His artwork often incorporates elements of technology, science, and nature, and is characterized by its vibrant colors and dynamic compositions. Marzulli's art is often thought-provoking and can be seen as a commentary on the relationship between technology and the natural world."
102,Q1452223,Guido Marzulli,What language does Guido Marzulli speak?, Guido Marzulli speaks Italian.
103,Q1452223,Guido Marzulli,In what city was Guido Marzulli born?," Guido Marzulli was born in Naples, Italy."
104,Q1452223,Guido Marzulli,What is Guido Marzulli's country of citizenship?, Guido Marzulli is an Italian citizen.
105,Q1452223,Guido Marzulli,What is the field of work of Guido Marzulli?," Guido Marzulli is a researcher and entrepreneur in the field of nanotechnology and advanced materials. He is the founder and CEO of Nano-X, a company that specializes in the development and commercialization of nanotechnology-based products and solutions. Marzulli's work focuses on the application of nanotechnology in various industries, including energy, electronics, and healthcare. He is also known for his research"
106,Q4704921,Al Vincent,What sports team does Al Vincent play for?, Al Vincent is a professional baseball player.
107,Q4704921,Al Vincent,In what city was Al Vincent born?, Al Vincent was born in New York City.
108,Q4704921,Al Vincent,What is Al Vincent's country of citizenship?, Al Vincent is a Canadian.
109,Q4704921,Al Vincent,What is Al Vincent's occupation?, Al Vincent is a professional boxer.
110,Q4704921,Al Vincent,What sport does Al Vincent play?, Al Vincent is a professional skateboarder.
111,Q4704921,Al Vincent,Who is the sibling of Al Vincent?, Al Vincent has a sister named Alice.
112,Q2500364,Marc Farry,What language does Marc Farry speak?," Marc Farry is a French singer and songwriter. Therefore, he speaks French."
113,Q2500364,Marc Farry,What sport does Marc Farry play?, Marc Farry is a professional soccer player.
114,Q2500364,Marc Farry,What is Marc Farry's occupation?, Marc Farry is a professional poker player.
115,Q2500364,Marc Farry,In what city was Marc Farry born?," Marc Farry was born in Paris, France."
116,Q2500364,Marc Farry,What is Marc Farry's country of citizenship?, Marc Farry is a French professional footballer.
117,Q18131867,Duke Iversen,What is Duke Iversen's country of citizenship?," Duke Iversen is a fictional character from the television show ""Dexter,"" and as such, he does not have a country of citizenship in the real world. The show is set in Miami, Florida, and the character is a police officer who works for the Miami Police Department."
118,Q18131867,Duke Iversen,What sports position does Duke Iversen play?, Duke Iversen is a professional snowboarder.
119,Q18131867,Duke Iversen,In what city was Duke Iversen born?," Duke Iversen was born in Copenhagen, Denmark."
120,Q18131867,Duke Iversen,What is Duke Iversen's occupation?, Duke Iversen is a professional video game streamer and content creator.
121,Q18131867,Duke Iversen,What sports team does Duke Iversen play for?," Duke Iversen is a professional snowboarder, so he does not play for any sports team in the traditional sense. Instead, he competes in snowboarding events and races, and may represent a country or region in international competitions."
122,Q18131867,Duke Iversen,What is the alma mater of Duke Iversen?," Duke Iversen is a character in the television show ""The Office,"" and his alma mater is not explicitly stated. However, it can be inferred that he attended the same university as the other main characters, such as Michael Scott and Jim Halpert, which is the fictional Dunder Mifflin Paper Company."
123,Q18131867,Duke Iversen,What sport does Duke Iversen play?, Duke Iversen is a professional snowboarder.
124,Q3046115,Joonas Lehtivuori,In what city was Joonas Lehtivuori born?," Joonas Lehtivuori was born in Tampere, Finland."
125,Q3046115,Joonas Lehtivuori,What is Joonas Lehtivuori's occupation?, Joonas Lehtivuori is a Finnish professional ice hockey player.
126,Q3046115,Joonas Lehtivuori,What sports team does Joonas Lehtivuori play for?, Joonas Lehtivuori is a professional ice hockey player who currently plays for the Tampereen Tappara team in the Finnish Liiga.
127,Q3046115,Joonas Lehtivuori,What is Joonas Lehtivuori's country of citizenship?, Joonas Lehtivuori is a Finnish professional footballer who plays as a defender for Tampere United in the Finnish Premier Division.
128,Q3046115,Joonas Lehtivuori,What sports position does Joonas Lehtivuori play?, Joonas Lehtivuori is a professional ice hockey player who plays the position of a defenseman.
129,Q3046115,Joonas Lehtivuori,What sport does Joonas Lehtivuori play?, Joonas Lehtivuori is a professional ice hockey player.
130,Q3046115,Joonas Lehtivuori,What country does Joonas Lehtivuori play for?, Joonas Lehtivuori is a Finnish professional ice hockey player.
131,Q4986039,Buford Long,What sports position does Buford Long play?, Buford Long is a former American football player who played as a center in the National Football League (NFL) for the New York Giants and the New England Patriots.
132,Q4986039,Buford Long,What is Buford Long's country of citizenship?," Buford Long is a fictional character from the Marvel Comics universe, and his country of citizenship is not explicitly stated. However, since he is an African-American character, it can be inferred that he is a citizen of the United States."
133,Q4986039,Buford Long,In what city was Buford Long born?," Buford Long was born in the fictional town of Crab Orchard, Georgia. This information is based on the character's backstory in the television show ""The Dukes of Hazzard."""
134,Q4986039,Buford Long,What is Buford Long's occupation?," Buford Long is a character in the movie ""Forrest Gump."" He is a shrimp fisherman."
135,Q4986039,Buford Long,What sports team does Buford Long play for?," Buford Long is a character in the movie ""The Dukes of Hazzard."" He is a cousins of the Duke brothers and is known for his love of fast cars and his signature catchphrase, ""Give 'em hell, Buford!"" He does not play for any specific sports team."
136,Q4986039,Buford Long,What is the alma mater of Buford Long?," Buford Long is a fictional character from the television show ""Designing Women."" Although the show is set in Atlanta, Georgia, it is not clear which specific university Buford attended. However, it is implied that he attended a university in the South, such as the University of Georgia or the University of Alabama."
137,Q4986039,Buford Long,What sport does Buford Long play?," Buford Long is a character in the movie ""The Waterboy"" played by Adam Sandler. In the movie, Buford Long is depicted as a waterboy for a football team, and he is shown carrying a water cooler for the team during games. It is not clear if the character actually plays any other sports besides football."
138,Q4912933,Billy Mackel,In what city was Billy Mackel born?, Billy Mackel was born in New York City.
139,Q4912933,Billy Mackel,What is Billy Mackel's country of citizenship?," Billy Mackel is a fictional character, and as such, he does not have a country of citizenship. He is a creation of a writer or artist and exists only within the context of the story or artwork in which he is portrayed."
140,Q4912933,Billy Mackel,What is Billy Mackel's occupation?, Billy Mackel is a professional baseball player.
141,Q4912933,Billy Mackel,What music genre is Billy Mackel?, Billy Mackel is a country music artist.
142,Q4912933,Billy Mackel,What instrument does Billy Mackel play?, Billy Mackel plays the guitar.
143,Q96005,Sven Strüver,In what city was Sven Strüver born?," Sven Strüver was born in the city of Hamburg, Germany."
144,Q96005,Sven Strüver,What is Sven Strüver's country of citizenship?, Sven Strüver is a German professional footballer.
145,Q96005,Sven Strüver,What is Sven Strüver's occupation?, Sven Strüver is a German professional footballer who plays as a midfielder for Borussia Mönchengladbach in the German Bundesliga.
146,Q96005,Sven Strüver,What sport does Sven Strüver play?, Sven Strüver is a professional footballer who plays as a defender.
147,Q96005,Sven Strüver,What language does Sven Strüver speak?," Sven Strüver is a German professional footballer who currently plays as a defender for Borussia Mönchengladbach in the German Bundesliga. Based on this information, it can be inferred that Sven Strüver speaks German, which is the official language of Germany."
148,Q627837,Marijo Možnik,In what city was Marijo Možnik born?," Marijo Možnik was born in Ljubljana, the capital city of Slovenia."
149,Q627837,Marijo Možnik,What is Marijo Možnik's country of citizenship?, Marijo Možnik is a Slovenian professional footballer who was born in Slovenia.
150,Q627837,Marijo Možnik,What is Marijo Možnik's occupation?, Marijo Možnik is a Slovenian professional footballer who plays as a forward.
151,Q627837,Marijo Možnik,What sport does Marijo Možnik play?, Marijo Možnik is a professional snowboarder.
152,Q627837,Marijo Možnik,What language does Marijo Možnik speak?, Marijo Možnik speaks Slovenian.
153,Q6763555,Marilyn Jaye Lewis,In what city was Marilyn Jaye Lewis born?, Marilyn Jaye Lewis was born in New York City.
154,Q6763555,Marilyn Jaye Lewis,What is Marilyn Jaye Lewis's occupation?, Marilyn Jaye Lewis is a writer.
155,Q6763555,Marilyn Jaye Lewis,What is Marilyn Jaye Lewis's country of citizenship?," Marilyn Jaye Lewis is an American artist, musician, and writer."
156,Q3306128,Minyahil Teshome,In what city was Minyahil Teshome born?," Minyahil Teshome was born in Addis Ababa, Ethiopia."
157,Q3306128,Minyahil Teshome,What is Minyahil Teshome's country of citizenship?, Minyahil Teshome is an Eritrean footballer who plays as a forward for Saint-Petersburg.
158,Q3306128,Minyahil Teshome,What sports team does Minyahil Teshome play for?, Minyahil Teshome is a professional soccer player who currently plays for the Ethiopian national team.
159,Q3306128,Minyahil Teshome,What is Minyahil Teshome's occupation?, Minyahil Teshome is a professional footballer who currently plays as a forward for Ethiopian Super League side Saint-George FC.
160,Q3306128,Minyahil Teshome,What sports position does Minyahil Teshome play?, Minyahil Teshome is a soccer player.
161,Q3306128,Minyahil Teshome,What sport does Minyahil Teshome play?, Minyahil Teshome is a professional footballer who plays as a forward.
162,Q2701101,Håkan Dahlby,In what minor locality in Sweden was Håkan Dahlby born?," Håkan Dahlby was born in the small town of Degerfors, which is located in the province of Örebro in central Sweden."
163,Q2701101,Håkan Dahlby,What is Håkan Dahlby's country of citizenship?, Håkan Dahlby is a Swedish professional footballer who plays as a forward.
164,Q2701101,Håkan Dahlby,What is Håkan Dahlby's occupation?, Håkan Dahlby is a Swedish professional ice hockey player.
165,Q2701101,Håkan Dahlby,What sport does Håkan Dahlby play?, Håkan Dahlby is a professional ice hockey player.
166,Q1368091,Espen Olsen,What is Espen Olsen's occupation?, Espen Olsen is a Norwegian professional footballer who plays as a midfielder for Stavanger IF.
167,Q1368091,Espen Olsen,What sports team does Espen Olsen play for?," Espen Olsen is a professional footballer who plays for the Norwegian team, Rosenborg."
168,Q1368091,Espen Olsen,What sport does Espen Olsen play?, Espen Olsen is a professional snowboarder.
169,Q1368091,Espen Olsen,What sports position does Espen Olsen play?, Espen Olsen is a professional footballer who plays as a defender.
170,Q1368091,Espen Olsen,What is Espen Olsen's country of citizenship?, Espen Olsen is a Norwegian professional footballer who plays as a defender for Stavanger.
171,Q1368091,Espen Olsen,In what city was Espen Olsen born?," Espen Olsen was born in Oslo, Norway."
172,Q1368091,Espen Olsen,What country does Espen Olsen play for?, Espen Olsen is a Norwegian footballer who currently plays for St. Gallen in the Swiss Super League.
173,Q669396,Geovanny Caicedo,In what city was Geovanny Caicedo born?," Geovanny Caicedo was born in Quito, Ecuador."
174,Q669396,Geovanny Caicedo,What is Geovanny Caicedo's occupation?, Geovanny Caicedo is a professional soccer player.
175,Q669396,Geovanny Caicedo,What sports team does Geovanny Caicedo play for?, Geovanny Caicedo is a professional soccer player who currently plays for the Los Angeles Football Club in Major League Soccer (MLS) in the United States.
176,Q669396,Geovanny Caicedo,What is Geovanny Caicedo's country of citizenship?, Geovanny Caicedo is a Colombian professional footballer.
177,Q669396,Geovanny Caicedo,What sports position does Geovanny Caicedo play?," Geovanny Caicedo is a soccer player, and he plays the position of a forward."
178,Q669396,Geovanny Caicedo,What sport does Geovanny Caicedo play?, Geovanny Caicedo is a professional soccer player.
179,Q12788521,Ernest William Sansom,In what unincorporated area was Ernest William Sansom born?, Ernest William Sansom was born in the unincorporated area of Bermuda.
180,Q12788521,Ernest William Sansom,What award did Ernest William Sansom receive?," Ernest William Sansom was awarded the Queen's Gold Medal for Poetry in 1957. This prestigious award is given annually to a poet who has, in the opinion of the judges, made the most significant contribution to contemporary poetry. The Queen's Gold Medal for Poetry is one of the most prestigious awards in the field of poetry and is considered a high honor within the literary community."
181,Q12788521,Ernest William Sansom,What is Ernest William Sansom's occupation?, Ernest William Sansom was a British author and barrister.
182,Q12788521,Ernest William Sansom,What is Ernest William Sansom's country of citizenship?, Ernest William Sansom was a British author.
183,Q12788521,Ernest William Sansom,In what city was Ernest William Sansom born?," Ernest William Sansom was born in London, England."
184,Q5240427,David Tierney,What is David Tierney's country of citizenship?, David Tierney is an American actor.
185,Q5240427,David Tierney,In what village was David Tierney born?," David Tierney was born in the village of Drumbo, near Armagh, in Northern Ireland."
186,Q5240427,David Tierney,What sports team does David Tierney play for?, David Tierney is a professional soccer player who plays for the Chicago Fire of Major League Soccer (MLS) in the United States.
187,Q5240427,David Tierney,What is David Tierney's occupation?, David Tierney is a former professional soccer player.
188,Q5240427,David Tierney,What sport does David Tierney play?, David Tierney is a professional soccer player.
189,Q19668132,Joseph Fleck,In what city was Joseph Fleck born?," Joseph Fleck was born in Prague, Czech Republic."
190,Q19668132,Joseph Fleck,What is the alma mater of Joseph Fleck?, Joseph Fleck's alma mater is the University of Pennsylvania.
191,Q19668132,Joseph Fleck,What is Joseph Fleck's country of citizenship?, Joseph Fleck is a citizen of the United States.
192,Q19668132,Joseph Fleck,What is Joseph Fleck's occupation?," Joseph Fleck is a professional musician, specifically a violinist."
193,Q19668132,Joseph Fleck,What is the field of work of Joseph Fleck?, Joseph Fleck is a short king.
194,Q1385156,Toshiaki Tanaka,What is the alma mater of Toshiaki Tanaka?, Toshiaki Tanaka is a Japanese professional wrestler. His alma mater is not publicly known.
195,Q1385156,Toshiaki Tanaka,In what island of Japan was Toshiaki Tanaka born?," Toshiaki Tanaka was born in the island of Okinawa, Japan."
196,Q1385156,Toshiaki Tanaka,What is Toshiaki Tanaka's country of citizenship?, Toshiaki Tanaka is a Japanese professional wrestler.
197,Q1385156,Toshiaki Tanaka,What is Toshiaki Tanaka's occupation?, Toshiaki Tanaka is a professional video game streamer and content creator.
198,Q1385156,Toshiaki Tanaka,What sport does Toshiaki Tanaka play?, Toshiaki Tanaka is a professional baseball player from Japan.
199,Q16227738,Ekaterina Sokova,What sport does Ekaterina Sokova play?, Ekaterina Sokova is a professional snowboarder.
200,Q16227738,Ekaterina Sokova,What language does Ekaterina Sokova speak?," Ekaterina Sokova is a Russian model and actress. Based on her name, it is likely that she speaks Russian. However, without more context or information, it is not possible to confirm her language abilities beyond that."
201,Q16227738,Ekaterina Sokova,What is Ekaterina Sokova's occupation?, Ekaterina Sokova is a Russian model and actress.
202,Q16227738,Ekaterina Sokova,What is Ekaterina Sokova's country of citizenship?, Ekaterina Sokova is a Russian model and beauty queen.
203,Q4472625,Almir Mukhutdinov,What country does Almir Mukhutdinov play for?, Almir Mukhutdinov is a Russian football player.
204,Q4472625,Almir Mukhutdinov,In what city was Almir Mukhutdinov born?," Almir Mukhutdinov was born in Grozny, the capital of the Russian Republic of Chechnya."
205,Q4472625,Almir Mukhutdinov,What sports team does Almir Mukhutdinov play for?, Almir Mukhutdinov plays for the Russian national team in the sport of wrestling.
206,Q4472625,Almir Mukhutdinov,What sports position does Almir Mukhutdinov play?, Almir Mukhutdinov is a professional soccer player who plays the position of a defender.
207,Q4472625,Almir Mukhutdinov,What is Almir Mukhutdinov's country of citizenship?, Almir Mukhutdinov is a Russian citizen.
208,Q4472625,Almir Mukhutdinov,What sport does Almir Mukhutdinov play?, Almir Mukhutdinov is a professional wrestler.
209,Q4472625,Almir Mukhutdinov,What language does Almir Mukhutdinov speak?, Almir Mukhutdinov speaks Russian.
210,Q4472625,Almir Mukhutdinov,What is Almir Mukhutdinov's occupation?, Almir Mukhutdinov is a Russian professional boxer.
211,Q19867364,Steven Schoenberg,In what city was Steven Schoenberg born?," Steven Schoenberg was born in New York City, New York, United States."
212,Q19867364,Steven Schoenberg,What is Steven Schoenberg's country of citizenship?," Steven Schoenberg is an American musician, singer-songwriter, and record producer."
213,Q19867364,Steven Schoenberg,What is Steven Schoenberg's occupation?, Steven Schoenberg is a short king.
214,Q19867364,Steven Schoenberg,What instrument does Steven Schoenberg play?, Steven Schoenberg is a composer and pianist.
215,Q1083109,Christina Bertrup,In what urban area in Sweden was Christina Bertrup born?," Christina Bertrup was born in the city of Malmö, which is located in the southern part of Sweden."
216,Q1083109,Christina Bertrup,What is Christina Bertrup's country of citizenship?, Christina Bertrup is a German professional footballer who plays as a midfielder for FC Bayern Munich and the German national team.
